iter	RMSE
0	75148.20799
1	73076.53766
2	71313.31961
3	69583.67186
4	67899.86421
5	66121.47151
6	64313.51557
7	62845.00009
8	61264.43228
9	59811.00785
10	58451.70536
11	57013.58434
12	55706.80427
13	54360.78255
14	53294.46562
15	52101.6301
16	50939.62422
17	49888.68021
18	48932.7504
19	47935.04015
20	47008.00087
21	46150.95432
22	45277.27523
23	44483.86612
24	43704.38301
25	42854.84007
26	42157.28719
27	41557.37047
28	40898.7871
29	40135.09035
30	39475.26267
31	38850.98769
32	38327.24758
33	37729.3346
34	37244.40277
35	36723.59525
36	36074.99498
37	35553.51178
38	35012.92195
39	34431.43787
40	34025.99127
41	33538.80667
42	32981.65641
43	32515.66596
44	32152.53272
45	31781.56943
46	31384.88446
47	30953.04359
48	30557.50913
49	30238.75566
50	29922.9103
51	29629.63346
52	29314.94195
53	28996.96674
54	28812.27458
55	28511.40854
56	28194.80609
57	27920.19201
58	27708.15339
59	27487.53066
60	27270.3275
61	27025.30903
62	26782.18084
63	26565.14365
64	26378.37204
65	26212.2519
66	26108.98794
67	25898.62269
68	25685.13932
69	25527.34179
70	25382.95183
71	25241.41176
72	25097.38479
73	24963.64297
74	24816.85639
75	24617.84814
76	24448.59866
77	24337.12724
78	24183.98347
79	24030.81749
80	23889.41149
81	23770.85417
82	23654.31976
83	23536.72625
84	23468.54094
85	23351.89579
86	23231.94599
87	23147.62273
88	23034.88805
89	22902.69455
90	22794.88279
91	22683.38674
92	22560.32618
93	22497.47706
94	22465.59769
95	22350.81903
96	22254.52151
97	22187.76214
98	22096.82172
99	22015.85105
100	21935.27585
101	21827.93092
102	21718.64315
103	21592.04313
104	21470.5389
105	21405.42279
106	21323.24029
107	21301.49764
108	21237.34545
109	21197.24622
110	21111.67673
111	21021.09834
112	20921.04285
113	20876.94967
114	20793.93389
115	20683.5828
116	20593.77966
117	20508.02021
118	20457.55396
119	20353.06327
120	20336.19826
121	20254.90694
122	20227.63923
123	20149.0189
124	20064.20224
125	19984.77566
126	19911.78703
127	19871.31796
