MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,QualityArea,TotalSF,HouseAge,RemodAge,TotalBath,TotalPorchSF
20,3,70.0,8400,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1957,1957,1,1,8,8,2,0.0,3,2,1,4,4,3,5,922,6,0,392,1314,1,4,1,3,1314,0,0,1314,1,0,1,0,3,1,3,5,6,0,3,1,1957.0,2,1,294,5,5,2,250,0,0,0,0,0,3,4,1,0,6,2010,8,4,6570,2628,53,53,2.0,0
60,3,59.0,7837,1,1,0,3,0,4,0,8,2,2,0,5,6,7,1993,1994,1,1,12,13,2,0.0,2,4,2,2,4,3,6,0,6,0,799,799,1,2,1,3,799,772,0,1571,0,0,2,1,3,1,3,7,6,1,5,1,1993.0,2,2,380,5,5,2,0,40,0,0,0,0,3,4,1,0,5,2009,8,4,9426,2370,16,15,2.5,40
30,3,67.0,8777,1,1,3,3,0,4,0,7,1,2,0,2,5,7,1910,1950,1,1,8,14,2,0.0,3,4,1,1,4,3,6,0,6,0,796,796,1,2,1,0,796,0,0,796,0,0,1,0,2,1,3,4,6,0,3,6,1910.0,1,0,0,3,3,1,328,0,164,0,0,0,3,2,1,0,5,2008,8,4,3980,1592,98,58,1.0,164
50,3,60.0,7200,1,1,3,3,0,0,0,18,1,2,0,0,5,7,1937,1950,1,1,13,14,1,252.0,3,4,0,2,4,3,0,569,6,0,162,731,1,0,1,3,981,787,0,1768,1,0,1,1,3,1,2,7,6,2,5,5,1939.0,3,1,240,5,5,2,0,0,264,0,0,0,3,2,1,0,6,2007,8,4,8840,2499,70,57,2.5,264
50,3,50.0,5000,1,2,3,3,0,4,0,18,2,2,0,0,5,6,1924,1950,1,1,3,14,2,0.0,3,4,0,4,4,3,3,218,6,0,808,1026,1,4,1,3,1026,665,0,1691,0,0,2,0,3,1,2,6,6,1,2,5,1924.0,3,1,308,5,5,2,0,0,242,0,0,0,3,4,1,0,5,2010,8,4,8455,2717,86,60,2.0,242
20,3,70.0,9800,1,1,3,3,0,0,0,5,2,2,0,2,5,7,1972,1972,1,1,12,13,2,0.0,3,4,2,4,4,3,0,894,6,0,0,894,1,4,1,3,894,0,0,894,1,0,1,0,3,1,3,5,6,0,3,1,1975.0,3,2,552,5,5,2,256,0,0,0,0,0,3,1,1,0,7,2006,8,0,4470,1788,34,34,2.0,0
60,3,122.0,11911,1,1,1,3,0,4,0,8,2,2,0,5,6,5,2005,2005,1,1,12,13,2,0.0,2,4,2,2,4,0,6,0,6,0,684,684,1,0,1,3,684,876,0,1560,0,0,2,1,3,1,2,6,6,1,2,3,2005.0,0,2,400,5,5,2,100,38,0,0,0,0,3,4,1,0,3,2009,8,4,9360,2244,4,4,2.5,38
50,4,40.0,5436,1,1,3,3,0,4,0,9,2,2,0,0,4,8,1922,2007,1,1,12,13,2,0.0,3,2,0,4,4,3,1,735,6,0,61,796,1,2,1,3,796,358,0,1154,1,0,1,0,3,1,2,7,6,0,3,5,1922.0,3,1,240,5,5,0,0,96,0,0,0,0,3,2,1,0,5,2010,8,4,4616,1950,88,3,2.0,96
20,3,78.0,12090,1,1,0,3,0,4,0,14,2,2,0,2,6,6,1981,1981,1,1,8,8,1,210.0,3,2,1,2,4,3,2,588,3,228,606,1422,1,4,1,3,1422,0,0,1422,0,0,2,0,3,1,2,7,6,1,5,1,1981.0,0,2,576,5,5,2,276,0,0,0,0,0,3,0,1,0,6,2008,8,4,8532,2844,27,27,2.0,0
20,3,76.0,9158,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2007,2007,1,1,5,5,3,140.0,2,4,2,2,4,0,6,0,6,0,1496,1496,1,0,1,3,1496,0,0,1496,0,0,2,0,3,1,2,7,6,0,3,1,2007.0,0,2,474,5,5,2,168,130,0,0,0,0,3,4,1,0,6,2007,6,5,11968,2992,0,0,2.0,130
85,3,70.0,8400,1,1,3,3,0,4,0,19,2,2,0,6,6,5,1966,1966,1,1,12,13,2,0.0,3,4,1,4,4,1,3,187,5,627,0,814,1,2,1,3,913,0,0,913,1,0,1,0,3,1,3,6,6,0,3,5,1990.0,3,1,240,5,5,2,0,0,252,0,0,0,3,4,1,0,5,2007,8,4,5478,1727,41,41,2.0,252
80,3,85.0,13400,1,1,3,3,0,4,0,12,2,2,0,7,5,5,1966,1966,1,1,12,13,1,1047.0,3,4,1,4,4,0,0,516,1,128,380,1024,1,4,1,3,1086,0,0,1086,1,0,1,0,3,1,3,6,6,1,2,1,1966.0,2,2,484,5,5,2,0,0,0,0,0,0,3,1,1,0,6,2006,8,4,5430,2110,40,40,2.0,0
20,3,82.0,11880,1,1,0,3,0,4,0,14,6,2,0,2,7,5,1978,1978,1,1,9,10,1,206.0,3,4,1,2,4,3,0,704,6,0,567,1271,1,4,1,3,1601,0,0,1601,0,0,2,0,3,1,3,7,6,1,5,1,1978.0,2,2,478,5,5,2,0,0,0,0,0,0,3,4,1,0,4,2009,0,0,11207,2872,31,31,2.0,0
60,3,85.0,13600,1,1,3,3,0,4,0,12,2,2,0,5,7,6,1965,1990,1,1,6,6,1,176.0,3,4,1,4,4,3,1,454,6,0,314,768,1,4,1,3,1186,800,0,1986,0,0,2,1,3,1,3,7,6,3,1,1,1965.0,3,2,486,5,5,2,0,42,0,0,189,0,3,4,1,0,10,2009,8,4,13902,2754,44,19,2.5,231
20,3,80.0,9600,1,1,3,3,0,4,0,14,2,2,0,2,7,5,1969,1969,3,1,6,6,1,168.0,3,4,1,4,4,3,6,0,6,0,1164,1164,1,4,1,3,1164,0,0,1164,0,0,1,1,3,1,3,6,6,0,3,1,1969.0,3,2,528,5,5,2,0,0,0,0,0,0,3,4,1,0,7,2006,0,4,8148,2328,37,37,1.5,0
60,3,65.0,8068,1,1,0,3,0,4,0,8,2,2,0,5,6,5,2002,2002,1,1,12,13,2,0.0,2,4,2,2,4,3,6,0,6,0,1010,1010,1,0,1,3,1010,1257,0,2267,0,0,2,1,4,1,2,8,6,1,5,3,2002.0,2,2,390,5,5,2,120,46,0,0,0,0,3,4,1,0,12,2009,4,4,13602,3277,7,7,2.5,46
20,3,68.0,21000,1,1,3,0,0,0,0,6,2,2,0,2,6,5,1953,1953,3,1,13,14,1,184.0,3,2,1,2,4,2,0,35,5,869,905,1809,1,4,1,3,2259,0,0,2259,1,0,2,0,3,1,2,7,6,2,2,2,1953.0,3,2,450,5,5,2,166,120,192,0,0,0,3,2,1,0,10,2007,0,0,13554,4068,54,54,3.0,312
20,4,49.0,8235,1,1,0,1,0,4,0,17,1,7,0,2,5,7,1955,1995,1,1,8,8,2,0.0,3,2,1,4,4,3,3,180,5,645,0,825,1,4,1,3,825,0,0,825,1,0,1,0,2,1,3,4,6,0,3,5,1963.0,2,2,720,5,5,2,140,50,0,0,0,0,3,2,1,0,6,2008,8,4,4125,1650,53,13,2.0,50
60,3,75.0,7950,1,1,0,0,0,0,0,7,2,2,0,5,6,6,1977,1977,3,1,6,10,1,140.0,3,4,1,4,4,3,1,535,6,0,155,690,1,4,1,3,698,728,0,1426,0,0,1,1,3,1,3,6,6,0,3,1,1977.0,0,2,440,5,5,2,252,0,0,0,0,0,3,2,1,0,7,2009,8,4,8556,2116,32,32,1.5,0
20,3,47.0,12416,1,1,0,3,0,4,0,23,2,2,0,2,6,5,1986,1986,1,1,12,10,3,132.0,3,4,1,2,0,3,0,1398,3,208,0,1606,1,4,1,3,1651,0,0,1651,1,0,2,0,3,1,3,7,3,1,5,1,1986.0,0,2,616,5,5,2,192,0,0,0,0,0,3,4,1,0,11,2008,8,4,9906,3257,22,22,3.0,0
45,3,55.0,10594,1,1,3,3,0,4,0,6,2,2,0,1,5,5,1926,1950,1,1,13,14,2,0.0,3,4,0,4,4,3,6,0,6,0,768,768,3,1,0,3,789,0,0,789,0,0,1,0,2,1,3,5,6,0,3,5,1926.0,3,1,200,4,4,2,0,0,112,0,0,0,3,2,1,0,6,2007,8,4,3945,1557,81,57,1.0,112
90,3,91.0,11643,1,1,3,3,0,4,0,12,0,2,2,5,5,5,1969,1969,1,1,8,8,1,368.0,3,4,1,4,4,3,3,500,6,0,748,1248,1,4,1,3,1338,1296,0,2634,1,1,2,2,6,2,3,12,6,0,3,5,1969.0,3,4,968,5,5,2,0,0,0,0,0,0,3,4,1,0,8,2009,8,4,13170,3882,40,40,4.5,0
50,4,52.0,6240,1,1,3,3,0,4,0,3,2,2,0,0,5,6,1928,1950,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0,6,0,1042,1042,1,0,1,3,1042,534,0,1576,0,0,1,0,3,1,3,8,6,1,2,5,1928.0,3,1,225,5,5,2,0,0,0,0,0,0,3,4,1,0,8,2006,8,3,7880,2618,78,56,1.0,0
60,3,65.0,10237,1,1,3,3,0,4,0,8,6,2,0,5,6,5,2005,2007,1,1,12,13,2,0.0,2,4,2,2,4,3,6,0,6,0,783,783,1,0,1,3,783,701,0,1484,0,0,2,1,3,1,2,8,6,1,2,1,2005.0,0,2,393,5,5,2,0,72,0,0,0,0,3,4,1,0,7,2007,6,5,8904,2267,2,0,2.5,72
20,3,67.0,10083,1,1,3,3,0,4,0,20,2,2,0,2,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,2,4,3,2,833,6,0,343,1176,1,0,1,3,1200,0,0,1200,1,0,2,0,2,1,2,5,6,0,3,1,2003.0,2,2,555,5,5,2,0,41,0,0,0,0,3,4,1,0,8,2009,8,4,8400,2376,6,6,3.0,41
160,1,35.0,4251,1,2,0,3,0,4,0,21,2,2,4,5,7,5,2006,2007,1,1,8,8,2,0.0,2,4,2,2,4,3,6,0,6,0,625,625,1,0,1,3,625,625,0,1250,0,0,2,1,2,1,2,5,6,0,3,5,2006.0,2,2,528,5,5,2,0,54,0,0,0,0,3,4,1,0,6,2007,6,5,8750,1875,1,0,2.5,54
20,3,100.0,17500,1,1,3,3,0,4,0,6,3,2,0,2,7,8,1959,2002,1,1,3,6,2,0.0,2,2,2,2,4,0,2,1406,6,0,496,1902,1,4,1,3,1902,0,0,1902,1,0,2,0,3,1,0,7,6,2,5,1,1959.0,0,2,567,5,5,2,0,207,162,0,0,0,3,4,1,0,5,2010,8,4,13314,3804,51,8,3.0,369
90,3,74.5,8544,1,1,3,3,0,4,0,12,2,2,2,2,3,4,1949,1950,1,1,11,12,1,340.0,3,4,3,3,2,4,4,0,4,0,0,0,5,1,0,0,1040,0,0,1040,0,0,2,0,2,2,3,6,6,0,3,5,1949.0,3,2,400,5,5,2,0,0,0,0,0,0,3,4,1,0,5,2006,8,4,3120,1040,57,56,2.0,0
20,3,79.0,9541,1,1,0,3,0,4,0,16,2,2,0,2,7,5,2009,2009,1,1,12,13,3,268.0,2,4,2,2,4,3,6,0,6,0,1502,1502,1,0,1,3,1502,0,0,1502,0,0,2,0,3,1,2,7,6,0,3,1,2009.0,2,2,644,5,5,2,0,114,0,0,0,0,3,4,1,0,9,2009,6,5,10514,3004,0,0,2.0,114
20,3,70.5,8544,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0.0,3,4,1,4,4,3,6,0,6,0,1228,1228,1,2,1,3,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,1,0,6,2008,8,4,6140,2456,42,2,1.5,65
40,3,60.0,12144,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1949,1950,1,1,6,6,2,0.0,2,4,1,4,4,3,5,375,6,0,457,832,1,2,1,3,1036,0,232,1268,0,0,1,0,3,1,3,6,6,1,2,1,1949.0,3,1,288,5,5,2,0,28,0,0,0,0,3,4,2,0,9,2009,8,4,6340,1868,60,59,1.0,28
30,3,67.0,5604,1,1,3,3,0,4,0,7,2,2,0,2,5,6,1925,1950,1,1,11,12,2,0.0,3,4,1,4,4,3,5,468,6,0,396,864,1,4,0,0,864,0,0,864,1,0,1,0,2,1,3,5,6,0,3,6,1925.0,1,0,0,3,3,2,0,0,96,0,0,0,3,4,1,0,4,2008,8,4,4320,1728,83,58,2.0,96
20,3,79.0,10240,1,1,3,3,0,4,0,14,2,2,0,2,6,6,1980,1980,1,1,9,10,1,157.0,3,2,1,2,4,3,1,625,3,1061,0,1686,1,4,1,3,1686,0,0,1686,1,0,2,0,3,1,3,7,6,1,5,1,1980.0,3,2,612,5,5,2,384,131,0,0,0,0,3,4,1,0,5,2006,8,4,10116,3372,26,26,3.0,131
20,3,70.5,9991,1,1,0,3,0,0,0,19,1,2,0,2,4,4,1976,1993,1,1,9,10,2,0.0,3,4,1,4,4,3,1,1116,6,0,165,1281,1,0,1,3,1620,0,0,1620,1,0,2,0,3,1,3,8,2,1,5,1,1993.0,3,2,490,5,5,2,120,78,0,0,0,0,3,1,1,0,6,2009,8,4,6480,2901,33,16,3.0,78
85,3,70.5,7252,1,1,0,3,0,1,0,19,2,2,0,6,5,5,1982,1982,3,1,13,14,2,0.0,3,4,1,2,4,0,2,685,6,0,173,858,1,4,1,3,858,0,0,858,1,0,1,0,2,1,3,5,6,0,3,5,1983.0,3,2,576,5,5,2,120,0,0,0,0,0,3,4,1,0,4,2009,8,4,4290,1716,27,27,2.0,0
20,1,60.0,7200,1,2,3,3,0,4,0,21,2,2,0,2,7,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,1,3,6,0,6,0,1293,1293,1,0,1,3,1301,0,0,1301,1,0,2,0,2,1,2,5,6,1,2,1,2006.0,2,2,572,5,5,2,216,121,0,0,0,0,3,4,1,0,8,2006,6,5,9107,2594,0,0,3.0,121
20,3,128.0,12160,1,1,3,3,0,4,0,12,1,2,0,2,6,4,1953,1953,3,1,13,14,1,90.0,3,4,1,4,4,3,1,1024,6,0,481,1505,1,0,1,3,1505,0,0,1505,1,0,1,0,2,1,3,6,6,1,5,1,1953.0,2,2,505,5,5,2,0,0,0,162,0,0,3,4,1,0,2,2009,8,4,9030,3010,56,56,2.0,162
20,3,71.0,9353,1,1,3,3,0,4,0,12,2,2,0,2,4,5,1970,1970,1,1,8,8,2,0.0,3,4,1,4,4,3,6,0,6,0,864,864,1,2,1,3,864,0,0,864,0,0,1,0,3,1,3,5,6,0,3,1,1972.0,3,1,280,5,5,2,0,0,0,0,0,0,3,4,3,0,7,2006,7,0,3456,1728,36,36,1.0,0
90,3,64.0,7018,1,1,3,0,0,4,0,20,1,2,2,6,5,5,1979,1979,1,1,9,10,3,275.0,3,4,1,2,4,0,2,1086,6,0,0,1086,1,4,1,3,1224,0,0,1224,2,0,0,2,2,2,3,6,6,2,5,5,1979.0,3,2,528,5,5,2,120,0,0,0,0,0,3,4,1,0,6,2009,8,2,6120,2310,30,30,3.0,0
20,3,70.5,13284,1,1,3,3,0,4,0,19,4,2,0,2,5,5,1954,1954,1,1,13,10,2,0.0,3,4,2,2,4,2,1,1064,6,0,319,1383,1,4,1,3,1383,0,0,1383,1,0,1,0,3,1,3,6,6,1,2,1,1954.0,3,1,354,5,5,2,511,116,0,0,0,0,3,0,1,0,6,2008,8,4,6915,2766,54,54,2.0,116
20,3,60.0,6600,1,1,3,3,0,4,0,11,2,2,0,2,5,9,1982,2008,1,1,12,13,2,0.0,2,2,1,4,4,3,0,641,6,0,175,816,1,0,1,3,816,0,0,816,0,1,1,0,3,1,2,5,6,1,0,1,1982.0,3,1,264,5,5,2,0,0,0,0,0,0,3,2,1,0,10,2008,8,4,4080,1632,26,0,1.5,0
90,4,78.0,7060,1,1,3,3,0,4,0,11,2,2,2,6,7,5,1997,1998,1,1,12,13,1,200.0,3,2,2,2,1,1,2,1309,6,0,35,1344,1,0,1,3,1344,0,0,1344,2,0,2,0,2,2,3,8,6,0,3,1,1997.0,0,4,784,5,5,2,0,0,0,0,0,0,3,4,1,0,11,2008,8,2,9408,2688,11,10,4.0,0
160,1,34.0,3604,1,2,3,3,0,0,0,21,2,2,4,5,7,5,2007,2007,1,1,12,13,2,0.0,2,4,2,2,4,3,6,0,6,0,689,689,1,0,1,3,703,689,0,1392,0,0,2,0,2,1,2,5,6,0,3,5,2007.0,3,2,540,5,5,2,0,102,0,0,0,0,3,4,1,0,2,2008,8,0,9744,2081,1,1,2.0,102
20,3,80.0,8892,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,0,66.0,3,4,1,4,4,3,6,0,6,0,1065,1065,1,2,1,3,1065,0,0,1065,0,0,1,1,3,1,3,6,6,0,3,5,1974.0,3,2,461,5,5,2,74,0,0,0,0,0,3,4,1,0,7,2007,0,4,5325,2130,47,47,1.5,0
50,3,53.0,5362,1,1,3,3,0,0,0,6,2,2,0,0,5,6,1910,2003,1,1,13,15,2,0.0,3,4,2,4,4,3,6,0,6,0,661,661,1,0,1,3,661,589,0,1250,0,0,2,0,3,1,3,8,6,1,2,5,1985.0,3,2,552,5,5,2,242,0,81,0,0,0,3,4,1,0,11,2007,8,4,6250,1911,97,4,2.0,81
190,4,33.0,4456,1,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0,6,0,736,736,1,2,1,3,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,3,6,1920.0,1,0,0,3,3,0,0,0,102,0,0,0,3,4,1,0,6,2009,6,5,5808,2188,89,1,2.0,102
50,3,60.0,9600,1,1,3,3,0,0,0,7,0,2,0,0,6,5,1924,1950,1,1,13,14,2,0.0,3,4,0,4,4,3,6,0,6,0,572,572,3,1,0,1,572,524,0,1096,0,0,1,0,2,1,3,5,6,0,3,6,1924.0,1,0,0,3,3,0,0,8,128,0,0,0,3,4,1,0,4,2008,8,4,6576,1668,84,58,1.0,136
20,1,95.0,11639,1,1,3,3,0,0,0,21,2,2,0,2,7,5,2007,2008,1,1,5,5,2,0.0,2,4,2,2,4,3,6,0,6,0,1428,1428,1,0,1,3,1428,0,0,1428,0,0,2,0,3,1,2,6,6,0,3,1,2007.0,0,2,480,5,5,2,0,120,0,0,0,0,3,4,1,0,12,2008,6,5,9996,2856,1,0,2.0,120
60,3,65.0,8000,1,1,3,3,0,4,0,8,2,2,0,5,6,5,1995,1996,1,1,6,6,2,0.0,3,4,2,2,4,3,2,219,6,0,554,773,1,2,1,3,773,885,0,1658,1,0,2,1,3,1,3,8,6,1,5,1,1995.0,0,2,431,5,5,2,224,84,0,0,0,0,3,4,1,0,6,2008,8,4,9948,2431,13,12,3.5,84
20,3,60.0,7200,1,1,3,3,0,4,0,12,2,2,0,2,5,8,1950,2002,1,1,12,13,2,0.0,3,4,1,4,4,3,0,398,1,149,317,864,1,2,1,3,864,0,0,864,1,0,1,0,3,1,2,5,6,0,3,5,1980.0,2,2,720,5,5,2,194,0,0,0,0,0,3,4,1,0,7,2007,8,4,4320,1728,57,5,2.0,0
190,2,60.0,7082,1,1,3,3,0,4,0,18,2,2,1,5,5,8,1916,1995,1,1,12,13,2,0.0,3,4,2,4,4,2,6,0,6,0,686,686,1,2,1,3,948,980,0,1928,0,0,2,0,5,2,3,10,6,0,3,6,1916.0,1,0,0,3,3,0,0,0,228,0,0,0,3,4,1,0,7,2006,8,4,9640,2614,90,11,2.0,228
20,3,80.0,8400,1,1,3,3,0,4,0,12,2,2,0,2,6,9,1962,2005,1,1,13,14,1,237.0,2,2,1,4,4,3,6,0,6,0,1319,1319,1,4,1,3,1537,0,0,1537,1,0,1,1,3,1,2,7,6,1,2,1,1962.0,2,2,462,5,5,2,0,36,0,0,0,0,3,0,1,0,7,2008,0,0,9222,2856,46,3,2.5,36
60,3,58.0,14054,1,1,0,3,0,4,0,8,2,2,0,5,7,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,4,0,6,0,6,0,879,879,1,0,1,3,879,984,0,1863,0,0,2,1,4,1,2,9,6,1,2,3,2006.0,0,3,660,5,5,2,100,17,0,0,0,0,3,4,1,0,11,2006,6,5,13041,2742,0,0,2.5,17
60,1,85.0,11003,1,1,3,3,0,4,0,21,2,2,0,5,10,5,2008,2008,1,1,12,13,3,160.0,0,4,2,0,4,0,2,765,6,0,252,1017,1,0,1,3,1026,981,0,2007,1,0,2,1,3,1,0,10,6,1,0,1,2008.0,0,3,812,5,5,2,168,52,0,0,0,0,3,4,1,0,4,2009,8,4,20070,3024,1,1,3.5,52
20,3,72.0,11846,1,1,0,1,0,4,0,16,2,2,0,2,9,5,2003,2004,3,1,12,13,1,562.0,2,4,2,0,4,1,2,1567,6,0,225,1792,1,0,1,3,1792,0,0,1792,1,0,2,0,2,1,0,6,6,1,2,1,2003.0,0,3,874,5,5,2,206,49,0,0,0,0,3,4,1,0,8,2006,8,4,16128,3584,3,2,3.0,49
30,4,60.0,8520,1,1,3,3,0,4,0,17,2,2,0,2,5,6,1923,2006,1,1,13,14,2,0.0,2,4,1,4,4,3,6,0,6,0,968,968,1,4,1,3,968,0,0,968,0,0,1,0,2,1,3,5,6,0,3,5,1935.0,3,2,480,1,5,0,0,0,184,0,0,0,3,4,1,0,7,2007,8,4,4840,1936,84,1,1.0,184
60,3,80.0,11029,1,1,0,3,0,0,0,14,3,2,0,5,6,7,1968,1984,1,1,6,6,1,220.0,3,4,1,4,4,2,1,619,6,0,435,1054,1,4,1,3,1512,1142,0,2654,1,0,2,1,4,1,2,9,6,1,2,1,1968.0,3,2,619,5,5,2,0,65,0,0,222,0,3,4,1,0,8,2006,8,4,15924,3708,38,22,3.5,287
80,3,70.5,10246,1,1,0,3,0,1,0,19,2,2,0,7,4,9,1965,2001,1,1,12,13,2,0.0,3,2,1,4,1,0,2,648,6,0,0,648,1,0,1,3,960,0,0,960,1,1,0,0,0,1,3,3,6,0,3,1,1965.0,3,1,364,5,5,2,88,0,0,0,0,0,3,4,1,0,5,2006,8,4,3840,1608,41,5,1.5,0
75,4,75.0,13500,1,1,3,3,0,4,0,17,0,3,0,4,10,9,1893,2000,1,1,13,14,2,0.0,0,0,0,4,4,3,6,0,6,0,1237,1237,1,2,1,3,1521,1254,0,2775,0,0,3,1,3,1,2,9,6,1,2,5,1988.0,3,2,880,2,5,2,105,502,0,0,0,0,3,4,1,0,7,2008,8,4,27750,4012,115,8,3.5,502
60,3,105.0,13693,1,1,3,3,0,4,0,16,2,2,0,5,9,5,2006,2006,3,1,12,13,1,772.0,0,4,2,2,4,0,6,0,6,0,2153,2153,1,0,1,3,2069,574,0,2643,0,0,2,1,3,1,0,9,6,1,2,3,2006.0,0,3,694,5,5,2,414,84,0,0,0,0,3,4,1,0,3,2007,8,4,23787,4796,1,1,2.5,84
120,4,44.0,3842,1,1,0,1,0,4,1,6,2,2,4,2,8,5,2004,2005,3,1,5,5,3,174.0,2,4,2,0,4,1,2,1373,6,0,221,1594,1,0,1,3,1646,0,0,1646,1,1,2,0,2,1,2,5,6,1,2,1,2004.0,0,2,482,5,5,2,128,53,0,0,155,0,3,4,1,0,1,2008,8,4,13168,3240,4,3,3.5,208
20,3,66.0,11200,1,1,3,3,0,4,0,20,2,2,0,2,6,5,1985,1985,1,1,13,15,1,85.0,2,4,1,2,4,3,2,1258,6,0,40,1298,1,4,1,3,1298,0,0,1298,1,0,2,0,3,1,2,5,6,1,5,1,1985.0,3,2,403,5,5,2,165,26,0,0,0,0,3,4,1,0,5,2006,8,4,7788,2596,21,21,3.0,26
20,3,64.0,10475,1,1,0,3,0,0,0,5,2,2,0,2,8,5,2008,2008,1,1,12,13,3,72.0,2,4,2,2,4,0,6,0,6,0,1694,1694,1,0,1,3,1694,0,0,1694,0,0,2,0,3,1,2,7,6,0,3,1,2008.0,2,3,776,5,5,2,160,33,0,0,0,0,3,4,1,0,2,2010,8,4,13552,3388,2,2,2.0,33
20,3,74.5,12772,1,1,0,3,0,1,0,12,2,2,0,2,6,8,1960,1998,3,1,8,8,2,0.0,3,2,1,4,4,2,1,498,6,0,460,958,1,4,1,3,958,0,0,958,0,0,1,0,2,1,3,5,6,0,3,1,1960.0,2,1,301,5,5,2,0,0,0,0,0,0,3,4,0,15500,4,2007,8,4,5748,1916,47,9,1.0,0
85,3,69.0,10205,1,1,0,3,0,4,0,12,2,2,0,6,5,5,1962,1962,1,1,8,8,2,0.0,3,4,1,4,4,0,1,784,6,0,141,925,1,4,1,3,999,0,0,999,1,0,1,0,3,1,3,6,6,0,3,1,1962.0,3,1,300,5,5,2,150,72,0,0,0,0,3,4,1,0,5,2006,8,4,4995,1924,44,44,2.0,72
50,3,54.0,6342,1,1,3,3,0,4,0,19,1,2,0,0,5,8,1875,1996,1,1,12,13,2,0.0,3,2,1,4,4,3,6,0,6,0,780,780,1,2,0,3,780,240,0,1020,0,0,1,0,2,1,3,6,6,0,3,6,1875.0,1,0,0,3,3,0,0,0,176,0,0,0,3,4,1,0,5,2010,8,4,5100,1800,135,14,1.0,176
60,1,73.5,7500,1,1,3,3,0,4,0,21,2,2,0,5,7,5,2000,2000,1,1,12,13,2,0.0,2,4,2,2,4,3,2,533,6,0,281,814,1,0,1,3,814,860,0,1674,1,0,2,1,3,1,2,7,6,0,3,1,2000.0,2,2,663,5,5,2,0,96,0,0,0,0,3,4,1,0,1,2010,8,4,11718,2488,10,10,3.5,96
20,3,91.0,10437,1,1,0,3,0,4,0,15,2,2,0,2,8,6,1995,1995,3,1,8,8,1,660.0,2,2,2,2,4,1,2,1696,6,0,413,2109,1,0,1,3,2113,0,0,2113,1,0,2,1,2,1,2,7,6,1,5,1,1995.0,0,3,839,5,5,2,236,46,0,0,0,0,3,4,1,0,8,2008,8,4,16904,4222,13,13,3.5,46
60,3,80.0,12046,1,1,0,3,0,4,0,14,2,2,0,5,6,6,1976,1976,1,1,9,10,1,298.0,3,4,1,4,4,3,3,156,6,0,692,848,1,4,1,3,1118,912,0,2030,0,0,2,1,4,1,2,8,6,1,5,1,1976.0,0,2,551,5,5,2,0,224,0,0,0,0,3,4,1,0,6,2007,8,4,12180,2878,31,31,2.5,224
160,3,75.0,10762,1,1,3,3,0,0,0,20,2,2,4,5,6,6,1980,1980,1,1,9,10,2,0.0,3,4,1,2,4,3,6,0,6,0,626,626,1,4,1,3,626,591,0,1217,0,0,1,1,3,1,3,6,6,1,5,1,1980.0,2,1,288,5,5,2,0,28,0,0,0,0,3,4,1,0,4,2009,8,4,7302,1843,29,29,1.5,28
60,3,70.0,9375,1,1,3,3,0,4,0,5,2,2,0,5,8,5,2002,2002,1,1,12,13,1,149.0,2,4,2,2,4,3,6,0,6,0,1284,1284,1,0,1,3,1284,885,0,2169,0,0,2,1,3,1,2,7,6,1,2,1,2002.0,2,2,647,5,5,2,192,87,0,0,0,0,3,4,1,0,8,2007,8,4,17352,3453,5,5,2.5,87
