QualityArea,OverallQual,GarageCars,KitchenQual,BsmtQual,MSSubClass,TotalBath,ExterQual,Fireplaces,BsmtExposure,LotArea,HouseAge,OverallCond,TotalSF,MasVnrArea,TotRmsAbvGrd,RemodAge,ScreenPorch,Functional,WoodDeckSF,BsmtFinType1,BsmtFullBath,RoofStyle,GarageFinish,LotFrontage,1stFlrSF,LotShape,BldgType,HeatingQC,HouseStyle,FireplaceQu,BsmtCond,SaleCondition,GarageType,KitchenAbvGr,BsmtFinSF1,Neighborhood,Exterior1st,3SsnPorch,PoolArea
6570,5,1,3,4,20,2.0,3,0,3,8400,53,6,2628,0.0,5,53,0,6,250,5,1,1,2,70.0,1314,3,0,4,2,3,4,4,1,1,922,12,8,0,0
9426,6,2,3,2,60,2.5,2,1,3,7837,16,7,2370,0.0,7,15,0,6,0,6,0,1,2,59.0,799,0,0,2,5,5,4,4,1,1,0,8,12,0,0
3980,5,0,3,1,30,1.0,3,0,3,8777,98,7,1592,0.0,4,58,0,6,328,6,0,1,1,67.0,796,3,0,2,2,3,4,4,6,1,0,7,8,0,0
8840,5,1,2,2,50,2.5,3,2,3,7200,70,7,2499,252.0,7,57,0,6,0,0,1,1,3,60.0,981,3,0,0,0,5,4,4,5,1,569,18,13,0,0
8455,5,1,2,4,50,2.0,3,1,3,5000,86,6,2717,0.0,6,60,0,6,0,3,0,1,3,50.0,1026,3,0,4,0,2,4,4,5,1,218,18,3,0,0
4470,5,2,3,4,20,2.0,3,0,3,9800,34,7,1788,0.0,5,34,0,6,256,0,1,1,3,70.0,894,3,0,4,2,3,4,0,1,1,894,5,12,0,0
9360,6,2,2,2,60,2.5,2,1,0,11911,4,5,2244,0.0,6,4,0,6,100,6,0,1,0,122.0,684,1,0,0,5,2,4,4,3,1,0,8,12,0,0
4616,4,1,2,4,50,2.0,3,0,3,5436,88,8,1950,0.0,7,3,0,6,0,1,1,1,3,40.0,796,3,0,2,0,3,4,4,5,1,735,9,12,0,0
8532,6,2,2,2,20,2.0,3,1,3,12090,27,6,2844,210.0,7,27,0,6,276,2,0,1,0,78.0,1422,0,0,4,2,5,4,4,1,1,588,14,8,0,0
11968,8,2,2,2,20,2.0,2,0,0,9158,0,5,2992,140.0,7,0,0,6,168,6,0,1,0,76.0,1496,3,0,0,2,3,4,5,1,1,0,21,5,0,0
5478,6,1,3,4,85,2.0,3,0,1,8400,41,5,1727,0.0,6,41,0,6,0,3,1,1,3,70.0,913,3,0,2,6,3,4,4,5,1,187,19,12,0,0
5430,5,2,3,4,80,2.0,3,1,0,13400,40,5,2110,1047.0,6,40,0,6,0,0,1,1,2,85.0,1086,3,0,4,7,2,4,4,1,1,516,12,12,0,0
11207,7,2,3,2,20,2.0,3,1,3,11880,31,5,2872,206.0,7,31,0,6,0,0,0,1,2,82.0,1601,0,0,4,2,5,4,0,1,1,704,14,9,0,0
13902,7,2,3,4,60,2.5,3,3,3,13600,44,6,2754,176.0,7,19,189,6,0,1,0,1,3,85.0,1186,3,0,4,5,1,4,4,1,1,454,12,6,0,0
8148,7,2,3,4,20,1.5,3,0,3,9600,37,5,2328,168.0,6,37,0,6,0,6,0,3,3,80.0,1164,3,0,4,2,3,4,4,1,1,0,14,6,0,0
13602,6,2,2,2,60,2.5,2,1,3,8068,7,5,3277,0.0,8,7,0,6,120,6,0,1,2,65.0,1010,0,0,0,5,5,4,4,3,1,0,8,12,0,0
13554,6,2,2,2,20,3.0,3,2,2,21000,54,5,4068,184.0,7,54,0,6,166,0,1,3,3,68.0,2259,3,0,4,2,2,4,0,2,1,35,6,13,0,0
4125,5,2,3,4,20,2.0,3,0,3,8235,53,7,1650,0.0,4,13,0,6,140,3,1,1,2,49.0,825,0,0,4,2,3,4,4,5,1,180,17,8,0,0
8556,6,2,3,4,60,1.5,3,0,3,7950,32,6,2116,140.0,6,32,0,6,252,1,0,3,0,75.0,698,0,0,4,5,3,4,4,1,1,535,7,6,0,0
9906,6,2,3,2,20,3.0,3,1,3,12416,22,5,3257,132.0,7,22,0,3,192,0,1,1,0,47.0,1651,0,0,4,2,5,0,4,1,1,1398,23,12,0,0
3945,5,1,3,4,45,1.0,3,0,3,10594,81,5,1557,0.0,5,57,0,6,0,6,0,1,3,55.0,789,3,0,1,1,3,4,4,5,1,0,6,13,0,0
13170,5,4,3,4,90,4.5,3,0,3,11643,40,5,3882,368.0,12,40,0,6,0,3,1,1,3,91.0,1338,3,2,4,5,3,4,4,5,2,500,12,8,0,0
7880,5,1,3,4,50,1.0,3,1,3,6240,78,6,2618,0.0,8,56,0,6,0,6,0,1,3,52.0,1042,3,0,0,0,2,4,3,5,1,0,3,8,0,0
8904,6,2,2,2,60,2.5,2,1,3,10237,2,5,2267,0.0,8,0,0,6,0,6,0,1,0,65.0,783,3,0,0,5,2,4,5,1,1,0,8,12,0,0
8400,7,2,2,2,20,3.0,2,0,3,10083,6,5,2376,0.0,5,6,0,6,0,2,1,1,2,67.0,1200,3,0,0,2,3,4,4,1,1,833,20,12,0,0
8750,7,2,2,2,160,2.5,2,0,3,4251,1,5,1875,0.0,5,0,0,6,0,6,0,1,2,35.0,625,0,4,0,5,3,4,5,5,1,0,21,8,0,0
13314,7,2,0,2,20,3.0,2,2,0,17500,51,8,3804,0.0,7,8,0,6,0,2,1,1,0,100.0,1902,3,0,4,2,5,4,4,1,1,1406,6,3,0,0
3120,3,2,3,3,90,2.0,3,0,4,8544,57,4,1040,340.0,6,56,0,6,0,4,0,1,3,74.5,1040,3,2,1,2,3,2,4,5,2,0,12,11,0,0
10514,7,2,2,2,20,2.0,2,0,3,9541,0,5,3004,268.0,7,0,0,6,0,6,0,1,2,79.0,1502,0,0,0,2,3,4,5,1,1,0,16,12,0,0
6140,5,1,2,4,20,1.5,3,0,3,8544,42,6,2456,0.0,6,2,0,6,0,6,0,1,3,70.5,1228,0,0,2,2,3,4,4,1,1,0,19,6,0,0
6340,5,1,3,4,40,1.0,2,1,3,12144,60,7,1868,0.0,6,59,0,6,0,5,0,1,3,60.0,1036,3,0,2,2,2,4,4,1,1,375,12,6,0,0
4320,5,0,3,4,30,2.0,3,0,3,5604,83,6,1728,0.0,5,58,0,6,0,5,1,1,1,67.0,864,3,0,4,2,3,4,4,6,1,468,7,11,0,0
10116,6,2,3,2,20,3.0,3,1,3,10240,26,6,3372,157.0,7,26,0,6,384,1,1,1,3,79.0,1686,3,0,4,2,5,4,4,1,1,625,14,9,0,0
6480,4,2,3,4,20,3.0,3,1,3,9991,33,4,2901,0.0,8,16,0,2,120,1,1,1,3,70.5,1620,0,0,0,2,5,4,4,1,1,1116,19,9,0,0
4290,5,2,3,2,85,2.0,3,0,0,7252,27,5,1716,0.0,5,27,0,6,120,2,1,3,3,70.5,858,0,0,4,6,3,4,4,5,1,685,19,13,0,0
9107,7,2,2,2,20,3.0,2,1,3,7200,0,5,2594,0.0,5,0,0,6,216,6,1,1,2,60.0,1301,3,0,0,2,2,1,5,1,1,0,21,12,0,0
9030,6,2,3,4,20,2.0,3,1,3,12160,56,4,3010,90.0,6,56,0,6,0,1,1,3,2,128.0,1505,3,0,0,2,5,4,4,1,1,1024,12,13,162,0
3456,4,1,3,4,20,1.0,3,0,3,9353,36,5,1728,0.0,5,36,0,6,0,6,0,1,3,71.0,864,3,0,2,2,3,4,0,1,1,0,12,8,0,0
6120,5,2,3,2,90,3.0,3,2,0,7018,30,5,2310,275.0,6,30,0,6,120,2,2,1,3,64.0,1224,3,2,4,6,5,4,2,5,2,1086,20,9,0,0
6915,5,1,3,2,20,2.0,3,1,2,13284,54,5,2766,0.0,6,54,0,6,511,1,1,1,3,70.5,1383,3,0,4,2,2,4,4,1,1,1064,19,13,0,0
4080,5,1,2,4,20,1.5,2,1,3,6600,26,9,1632,0.0,5,0,0,6,0,0,0,1,3,60.0,816,3,0,0,2,0,4,4,1,1,641,11,12,0,0
9408,7,4,3,2,90,4.0,3,0,1,7060,11,5,2688,200.0,8,10,0,6,0,2,2,1,0,78.0,1344,3,2,0,6,3,1,2,1,2,1309,11,12,0,0
9744,7,2,2,2,160,2.0,2,0,3,3604,1,5,2081,0.0,5,1,0,6,0,6,0,1,3,34.0,703,3,4,0,5,3,4,0,5,1,0,21,12,0,0
5325,5,2,3,4,20,1.5,3,0,3,8892,47,5,2130,66.0,6,47,0,6,74,6,0,1,3,80.0,1065,0,0,2,2,3,4,4,5,1,0,12,8,0,0
6250,5,2,3,4,50,2.0,3,1,3,5362,97,6,1911,0.0,8,4,0,6,242,6,0,1,3,53.0,661,3,0,0,0,2,4,4,5,1,0,6,13,0,0
5808,4,0,3,4,190,2.0,3,0,3,4456,89,5,2188,0.0,8,1,0,6,0,6,0,1,1,33.0,736,3,1,2,5,3,4,5,6,3,0,17,8,0,0
6576,6,0,3,4,50,1.0,3,0,3,9600,84,5,1668,0.0,5,58,0,6,0,6,0,1,1,60.0,572,3,0,1,0,3,4,4,6,1,0,7,13,0,0
9996,7,2,2,2,20,2.0,2,0,3,11639,1,5,2856,0.0,6,0,0,6,0,6,0,1,0,95.0,1428,3,0,0,2,3,4,5,1,1,0,21,5,0,0
9948,6,2,3,2,60,3.5,3,1,3,8000,13,5,2431,0.0,8,12,0,6,224,2,1,1,0,65.0,773,3,0,2,5,5,4,4,1,1,219,8,6,0,0
4320,5,2,2,4,20,2.0,3,0,3,7200,57,8,1728,0.0,5,5,0,6,194,0,1,1,2,60.0,864,3,0,2,2,3,4,4,5,1,398,12,12,0,0
9640,5,0,3,4,190,2.0,3,0,2,7082,90,8,2614,0.0,10,11,0,6,0,6,0,1,1,60.0,948,3,1,2,5,3,4,4,6,2,0,18,12,0,0
9222,6,2,2,4,20,2.5,2,1,3,8400,46,9,2856,237.0,7,3,0,6,0,6,1,1,2,80.0,1537,3,0,4,2,2,4,0,1,1,0,12,13,0,0
13041,7,3,2,2,60,2.5,2,1,0,14054,0,5,2742,0.0,9,0,0,6,100,6,0,1,0,58.0,879,0,0,0,5,2,4,5,3,1,0,8,12,0,0
20070,10,3,0,0,60,3.5,0,1,0,11003,1,5,3024,160.0,10,1,0,6,168,2,1,1,0,85.0,1026,3,0,0,5,0,4,4,1,1,765,21,12,0,0
16128,9,3,0,0,20,3.0,2,1,1,11846,3,5,3584,562.0,6,2,0,6,206,2,1,3,0,72.0,1792,0,0,0,2,2,4,4,1,1,1567,16,12,0,0
4840,5,2,3,4,30,1.0,2,0,3,8520,84,6,1936,0.0,5,1,0,6,0,6,0,1,3,60.0,968,3,0,4,2,3,4,4,5,1,0,17,13,0,0
15924,6,2,2,4,60,3.5,3,1,2,11029,38,7,3708,220.0,9,22,222,6,0,1,1,1,3,80.0,1512,0,0,4,5,2,4,4,1,1,619,14,6,0,0
3840,4,1,3,4,80,1.5,3,0,0,10246,41,9,1608,0.0,3,5,0,6,88,2,1,1,3,70.5,960,0,0,0,7,3,1,4,1,1,648,19,12,0,0
27750,10,2,2,4,75,3.5,0,1,3,13500,115,9,4012,0.0,9,8,0,6,105,6,0,1,3,75.0,1521,3,0,2,4,2,4,4,5,1,0,17,13,0,0
