iter	RMSE
0	67775.29011
1	59253.69441
2	53197.09862
3	48202.71307
4	43811.15522
5	40595.01696
6	37765.4032
7	35573.21089
8	33434.85717
9	31869.02903
10	30176.1035
11	28841.62072
12	27919.04927
13	27027.91712
14	26227.73175
15	25547.9617
16	24687.66483
17	24217.86292
18	23872.41351
19	23396.81183
20	22979.88175
21	22676.18955
22	22269.92963
23	21948.61534
24	21675.18937
25	21553.64359
26	21464.16144
27	21283.42061
28	21194.24827
29	20867.0683
30	20606.95998
31	20350.42437
32	20070.26695
33	19788.40522
34	19651.69614
35	19368.82715
36	19113.5494
37	18816.7086
38	18634.59475
39	18519.17296
40	18333.11541
41	18294.21682
42	18229.73246
43	18044.83774
44	17938.79085
45	17679.70065
46	17539.52638
47	17296.53738
48	17092.76234
49	16947.95598
50	16854.29458
51	16641.86998
52	16482.41279
53	16346.7492
54	16162.14514
55	15897.10017
56	15675.26557
57	15601.90422
58	15480.97213
59	15334.58379
60	15189.73496
61	15076.35029
62	14930.50581
63	14835.76473
64	14715.07194
65	14585.53667
66	14465.71684
67	14389.73925
68	14268.96373
69	14181.25842
70	14098.28312
71	14000.38281
72	13881.65617
73	13760.79649
74	13714.77248
75	13664.69668
76	13550.05364
77	13437.2796
78	13357.07401
79	13198.38322
80	13116.72529
81	13029.33723
82	12929.29762
83	12867.39414
84	12828.97195
85	12818.10355
86	12739.27977
87	12721.59273
88	12698.00431
89	12648.63177
90	12510.37561
91	12427.51377
92	12420.18017
93	12408.08736
94	12340.48552
95	12290.62965
96	12216.57582
97	12140.336
98	12078.91929
99	12001.90886
