iter	Passed	Remaining
0	88	26491
1	101	15190
2	113	11193
3	120	8927
4	128	7555
5	132	6500
6	138	5793
7	147	5368
8	151	4887
9	156	4534
10	162	4262
11	166	3998
12	172	3812
13	179	3667
14	186	3538
15	189	3367
16	194	3231
17	198	3106
18	203	3004
19	209	2929
20	214	2844
21	221	2801
22	228	2750
23	236	2720
24	244	2686
25	251	2651
26	259	2621
27	266	2586
28	273	2555
29	280	2523
30	288	2505
31	295	2477
32	304	2463
33	311	2439
34	320	2424
35	328	2410
36	337	2401
37	345	2381
38	353	2368
39	362	2357
40	371	2347
41	381	2340
42	390	2333
43	400	2332
44	408	2316
45	418	2309
46	426	2298
47	433	2278
48	440	2254
49	448	2240
50	455	2224
51	461	2202
52	473	2207
53	483	2202
54	490	2184
55	499	2175
56	505	2155
57	515	2148
58	521	2129
59	529	2119
60	535	2099
61	542	2081
62	551	2072
63	555	2048
64	561	2029
65	566	2009
66	573	1995
67	581	1983
68	589	1972
69	597	1963
70	605	1952
71	613	1943
72	619	1926
73	626	1912
74	631	1895
75	639	1885
76	645	1870
77	652	1857
78	658	1843
79	666	1831
80	673	1821
81	683	1816
82	692	1809
83	700	1800
84	708	1792
85	716	1781
86	724	1773
87	730	1759
88	735	1744
89	743	1733
90	750	1723
91	755	1709
92	761	1694
93	766	1679
94	772	1666
95	777	1652
96	783	1639
97	789	1626
98	794	1613
99	799	1599
100	806	1588
101	811	1575
102	816	1562
103	827	1559
104	837	1554
105	842	1541
106	848	1530
107	855	1521
108	864	1515
109	871	1506
110	880	1498
111	886	1487
112	892	1477
113	899	1468
114	908	1461
115	914	1450
116	920	1440
117	926	1429
118	934	1421
119	944	1416
120	951	1407
121	960	1400
122	965	1388
123	969	1376
124	976	1366
125	982	1356
126	993	1352
127	997	1341
128	1007	1334
129	1014	1326
130	1023	1319
131	1030	1311
132	1043	1310
133	1059	1312
134	1077	1317
135	1088	1312
136	1097	1305
137	1105	1298
138	1114	1291
139	1124	1284
140	1130	1275
141	1136	1264
142	1143	1255
143	1150	1245
144	1157	1237
145	1163	1226
146	1169	1217
147	1176	1208
148	1182	1198
149	1189	1189
150	1195	1179
151	1200	1168
152	1204	1157
153	1211	1148
154	1217	1139
155	1223	1129
156	1228	1118
157	1234	1109
158	1239	1099
159	1245	1089
160	1252	1080
161	1258	1072
162	1265	1063
163	1271	1054
164	1275	1043
165	1280	1033
166	1285	1023
167	1290	1013
168	1294	1003
169	1304	997
170	1311	989
171	1320	982
172	1327	974
173	1332	965
174	1340	957
175	1347	949
176	1353	940
177	1361	933
178	1371	926
179	1380	920
180	1388	913
181	1397	905
182	1405	898
183	1412	890
184	1421	883
185	1429	876
186	1438	869
187	1446	861
188	1455	854
189	1465	848
190	1474	841
191	1483	834
192	1491	826
193	1498	818
194	1505	810
195	1512	802
196	1520	795
197	1528	787
198	1536	779
199	1542	771
200	1548	762
201	1553	753
202	1562	746
203	1570	739
204	1578	731
205	1586	723
206	1594	716
207	1600	707
208	1606	699
209	1612	691
210	1620	683
211	1630	676
212	1639	669
213	1647	662
214	1657	655
215	1669	649
216	1680	642
217	1688	635
218	1700	628
219	1712	622
220	1719	614
221	1737	610
222	1749	603
223	1755	595
224	1763	587
225	1773	580
226	1782	573
227	1792	565
228	1799	557
229	1808	550
230	1815	542
231	1823	534
232	1830	526
233	1839	518
234	1847	511
235	1855	503
236	1862	495
237	1870	487
238	1877	479
239	1885	471
240	1894	463
241	1899	455
242	1907	447
243	1915	439
244	1923	431
245	1931	423
246	1938	415
247	1946	408
248	1954	400
249	1961	392
250	1967	384
251	1975	376
252	1983	368
253	1989	360
254	1993	351
255	1999	343
256	2005	335
257	2013	327
258	2021	320
259	2029	312
260	2037	304
261	2043	296
262	2052	288
263	2060	281
264	2068	273
265	2077	265
266	2085	257
267	2092	249
268	2101	242
269	2109	234
270	2117	226
271	2127	218
272	2135	211
273	2144	203
274	2155	195
275	2163	188
276	2169	180
277	2175	172
278	2182	164
279	2190	156
280	2198	148
281	2206	140
282	2214	133
283	2223	125
284	2229	117
285	2238	109
286	2245	101
287	2253	93
288	2260	86
289	2270	78
290	2278	70
291	2288	62
292	2295	54
293	2304	47
294	2312	39
295	2320	31
296	2327	23
297	2333	15
298	2342	7
299	2348	0
