QualityArea,OverallQual,GarageCars,BsmtQual,KitchenQual,MSSubClass,TotalBath,Fireplaces,ExterQual,LotArea,HouseAge,BsmtExposure,OverallCond,RemodAge,TotalSF,ScreenPorch,Functional,MasVnrArea,WoodDeckSF,TotRmsAbvGrd,BsmtFinType1,BsmtFullBath,HeatingQC,1stFlrSF,GarageType,LotShape,RoofStyle,LotFrontage,SaleCondition,BsmtFinSF1,HouseStyle,BldgType,KitchenAbvGr,Neighborhood,Exterior1st,YearBuilt
6570,5,1,3,3,20,2.0,0,3,8400,53,3,6,53,2628,0,6,0.0,250,5,4,1,4,1314,1,3,1,70.0,4,922,2,0,1,12,8,1957
9426,6,2,2,3,60,2.5,1,2,7837,16,3,7,15,2370,0,6,0.0,0,7,5,0,2,799,1,0,1,59.0,4,0,5,0,1,8,12,1993
3980,5,0,1,3,30,1.0,0,3,8777,98,3,7,58,1592,0,6,0.0,328,4,5,0,2,796,1,3,1,67.0,4,0,2,0,1,7,8,1910
8840,5,1,2,2,50,2.5,2,3,7200,70,3,7,57,2499,0,6,252.0,0,7,0,1,0,981,5,3,1,60.0,4,569,0,0,1,18,13,1937
8455,5,1,3,2,50,2.0,1,3,5000,86,3,6,60,2717,0,6,0.0,0,6,3,0,4,1026,5,3,1,50.0,4,218,0,0,1,18,3,1924
4470,5,2,3,3,20,2.0,0,3,9800,34,3,7,34,1788,0,6,0.0,256,5,0,1,4,894,1,3,1,70.0,0,894,2,0,1,5,12,1972
9360,6,2,2,2,60,2.5,1,2,11911,4,0,5,4,2244,0,6,0.0,100,6,5,0,0,684,3,1,1,122.0,4,0,5,0,1,8,12,2005
4616,4,1,3,2,50,2.0,0,3,5436,88,3,8,3,1950,0,6,0.0,0,7,1,1,2,796,5,3,1,40.0,4,735,0,0,1,9,12,1922
8532,6,2,2,2,20,2.0,1,3,12090,27,3,6,27,2844,0,6,210.0,276,7,2,0,4,1422,1,0,1,78.0,4,588,2,0,1,14,8,1981
11968,8,2,2,2,20,2.0,0,2,9158,0,0,5,0,2992,0,6,140.0,168,7,5,0,0,1496,1,3,1,76.0,5,0,2,0,1,21,5,2007
5478,6,1,3,3,85,2.0,0,3,8400,41,1,5,41,1727,0,6,0.0,0,6,3,1,2,913,5,3,1,70.0,4,187,6,0,1,19,12,1966
5430,5,2,3,3,80,2.0,1,3,13400,40,0,5,40,2110,0,6,1047.0,0,6,0,1,4,1086,1,3,1,85.0,4,516,7,0,1,12,12,1966
11207,7,2,2,3,20,2.0,1,3,11880,31,3,5,31,2872,0,6,206.0,0,7,0,0,4,1601,1,0,1,82.0,0,704,2,0,1,14,9,1978
13902,7,2,3,3,60,2.5,3,3,13600,44,3,6,19,2754,189,6,176.0,0,7,1,0,4,1186,1,3,1,85.0,4,454,5,0,1,12,6,1965
8148,7,2,3,3,20,1.5,0,3,9600,37,3,5,37,2328,0,6,168.0,0,6,5,0,4,1164,1,3,3,80.0,4,0,2,0,1,14,6,1969
13602,6,2,2,2,60,2.5,1,2,8068,7,3,5,7,3277,0,6,0.0,120,8,5,0,0,1010,3,0,1,65.0,4,0,5,0,1,8,12,2002
13554,6,2,2,2,20,3.0,2,3,21000,54,2,5,54,4068,0,6,184.0,166,7,0,1,4,2259,2,3,3,68.0,0,35,2,0,1,6,13,1953
4125,5,2,3,3,20,2.0,0,3,8235,53,3,7,13,1650,0,6,0.0,140,4,3,1,4,825,5,0,1,49.0,4,180,2,0,1,17,8,1955
8556,6,2,3,3,60,1.5,0,3,7950,32,3,6,32,2116,0,6,140.0,252,6,1,0,4,698,1,0,3,75.0,4,535,5,0,1,7,6,1977
9906,6,2,2,3,20,3.0,1,3,12416,22,3,5,22,3257,0,3,132.0,192,7,0,1,4,1651,1,0,1,47.0,4,1398,2,0,1,23,12,1986
3945,5,1,3,3,45,1.0,0,3,10594,81,3,5,57,1557,0,6,0.0,0,5,5,0,1,789,5,3,1,55.0,4,0,1,0,1,6,13,1926
13170,5,4,3,3,90,4.5,0,3,11643,40,3,5,40,3882,0,6,368.0,0,12,3,1,4,1338,5,3,1,91.0,4,500,5,2,2,12,8,1969
7880,5,1,3,3,50,1.0,1,3,6240,78,3,6,56,2618,0,6,0.0,0,8,5,0,0,1042,5,3,1,52.0,3,0,0,0,1,3,8,1928
8904,6,2,2,2,60,2.5,1,2,10237,2,3,5,0,2267,0,6,0.0,0,8,5,0,0,783,1,3,1,65.0,5,0,5,0,1,8,12,2005
8400,7,2,2,2,20,3.0,0,2,10083,6,3,5,6,2376,0,6,0.0,0,5,2,1,0,1200,1,3,1,67.0,4,833,2,0,1,20,12,2003
8750,7,2,2,2,160,2.5,0,2,4251,1,3,5,0,1875,0,6,0.0,0,5,5,0,0,625,5,0,1,35.0,5,0,5,4,1,21,8,2006
13314,7,2,2,0,20,3.0,2,2,17500,51,0,8,8,3804,0,6,0.0,0,7,2,1,4,1902,1,3,1,100.0,4,1406,2,0,1,6,3,1959
3120,3,2,3,3,90,2.0,0,3,8544,57,3,4,56,1040,0,6,340.0,0,6,5,0,1,1040,5,3,1,74.5,4,0,2,2,2,12,11,1949
10514,7,2,2,2,20,2.0,0,2,9541,0,3,5,0,3004,0,6,268.0,0,7,5,0,0,1502,1,0,1,79.0,5,0,2,0,1,16,12,2009
6140,5,1,3,2,20,1.5,0,3,8544,42,3,6,2,2456,0,6,0.0,0,6,5,0,2,1228,1,0,1,70.5,4,0,2,0,1,19,6,1966
6340,5,1,3,3,40,1.0,1,2,12144,60,3,7,59,1868,0,6,0.0,0,6,4,0,2,1036,1,3,1,60.0,4,375,2,0,1,12,6,1949
4320,5,0,3,3,30,2.0,0,3,5604,83,3,6,58,1728,0,6,0.0,0,5,4,1,4,864,1,3,1,67.0,4,468,2,0,1,7,11,1925
